Source,Destination,Driving Times
1,1,0
1,2,251
1,3,1331
1,4,1125
1,5,848
1,6,1116
1,7,1573
1,8,1421
1,9,1106
1,10,597
1,11,1166
1,12,1274
1,13,1344
1,14,1803
1,15,851
1,16,1294
1,17,1552
1,18,1065
1,19,804
1,20,1412
1,21,1143
1,22,1452
1,23,1248
1,24,883
1,25,1315
1,26,1607
1,27,696
1,28,1357
1,29,1117
1,30,709
1,31,720
1,32,1135
1,33,1372
1,34,1456
1,35,1211
1,36,708
1,37,990
1,38,1195
1,39,891
1,40,908
1,41,632
1,42,1271
1,43,1327
1,44,1568
1,45,1459
1,46,1275
1,47,835
1,48,1154
1,49,1335
1,50,1469
1,51,569
1,52,1287
1,53,1258
1,54,1184
1,55,757
1,56,1025
1,57,1025
2,1,239
2,2,0
2,3,1308
2,4,1228
2,5,951
2,6,1218
2,7,1676
2,8,1524
2,9,1209
2,10,700
2,11,1172
2,12,1377
2,13,1447
2,14,1905
2,15,954
2,16,1397
2,17,1655
2,18,1168
2,19,907
2,20,1515
2,21,1246
2,22,1554
2,23,1351
2,24,986
2,25,1418
2,26,1709
2,27,799
2,28,1459
2,29,1219
2,30,812
2,31,823
2,32,1238
2,33,1474
2,34,1558
2,35,1314
2,36,811
2,37,1093
2,38,1298
2,39,994
2,40,1010
2,41,735
2,42,1374
2,43,1429
2,44,1671
2,45,1562
2,46,1378
2,47,938
2,48,1257
2,49,1438
2,50,1572
2,51,671
2,52,1390
2,53,1360
2,54,1287
2,55,860
2,56,1128
2,57,1128
3,1,1278
3,2,1309
3,3,0
3,4,1063
3,5,1234
3,6,1445
3,7,1841
3,8,1599
3,9,1040
3,10,961
3,11,637
3,12,840
3,13,933
3,14,1605
3,15,1243
3,16,1623
3,17,1390
3,18,1120
3,19,1226
3,20,1154
3,21,797
3,22,1176
3,23,935
3,24,1240
3,25,1644
3,26,1659
3,27,1299
3,28,946
3,29,1066
3,30,1148
3,31,1244
3,32,1306
3,33,961
3,34,1723
3,35,1540
3,36,915
3,37,1398
3,38,1424
3,39,1249
3,40,1260
3,41,1332
3,42,1631
3,43,1748
3,44,1492
3,45,1105
3,46,923
