Node,X,Y
1,4.5244194,51.9704339
2,4.5475969,51.974229
3,4.4021253,51.9533084
4,4.4724661,51.9247592
5,4.552414,51.9515839
6,4.5204014,51.8940735
7,4.4891998,51.8827536
8,4.4845281,51.9047778
9,4.4734669,51.9241504
10,4.4978168,51.940519
11,4.4203115,51.9284327
12,4.4337542,51.9231367
13,4.4233564,51.910087
14,4.4519486,51.8964686
15,4.5324767,51.9176376
16,4.5104911,51.9100107
17,4.4416511,51.8751337
18,4.4781633,51.9234923
19,4.5225059,51.917207
20,4.4663311,51.9121049
21,4.4544905,51.9224646
22,4.4595111,51.906377
23,4.4582878,51.9199265
24,4.4985672,51.9248722
25,4.5049313,51.9047462
26,4.4927014,51.8927576
27,4.5447176,51.9350833
28,4.4376173,51.915785
29,4.4701711,51.9236602
30,4.5339179,51.9218087
31,4.5515861,51.9513518
32,4.4809145,51.917978
33,4.4317376,51.9135851
34,4.4881948,51.8867455
35,4.5092774,51.9048737
36,4.4813679,51.941966
37,4.4896982,51.9199152
38,4.4874574,51.9168528
39,4.4925643,51.9250844
40,4.5105877,51.9240257
41,4.5447849,51.9444408
42,4.4928422,51.9123973
43,4.5040004,51.9011709
44,4.4846885,51.8922793
45,4.4420135,51.9128224
46,4.4504084,51.9190553
47,4.4764442,51.9358092
48,4.4833033,51.9204832
49,4.4734343,51.9207548
50,4.4686119,51.9083281
51,4.5015832,51.9383417
52,4.4737194,51.9107608
53,4.4766579,51.9155036
54,4.581379,51.9825254
55,4.5562508,51.9479815
56,4.4873844,51.9225438
57,4.5247145,51.8959174
