Source,Destination,Walking Time (seconds)
1,1,0
1,2,1563
1,3,10357
1,4,7401
1,5,3783
1,6,9354
1,7,11751
1,8,9451
1,9,7364
1,10,6012
1,11,9392
1,12,9207
1,13,10329
1,14,11315
1,15,6871
1,16,8351
1,17,13144
1,18,7326
1,19,6980
1,20,8652
1,21,8030
1,22,9347
1,23,8000
1,24,7301
1,25,8729
1,26,10662
1,27,5786
1,28,9348
1,29,7427
1,30,6439
1,31,3798
1,32,7812
1,33,9692
1,34,11357
1,35,8493
1,36,5380
1,37,7829
1,38,8235
1,39,7247
1,40,6630
1,41,4783
1,42,8832
1,43,9084
1,44,10992
1,45,9327
1,46,8456
1,47,6006
1,48,7525
1,49,7744
1,50,9183
1,51,5779
1,52,8712
1,53,8221
1,54,4467
1,55,4306
1,56,7264
1,57,9377
2,1,1640
2,2,0
2,3,10756
2,4,7496
2,5,2422
2,6,8864
2,7,11467
2,8,9343
2,9,7459
2,10,5522
2,11,9828
2,12,9643
2,13,10615
2,14,11501
2,15,6381
2,16,7861
2,17,13330
2,18,7421
2,19,6490
2,20,8833
2,21,8316
2,22,9633
2,23,8286
2,24,6811
2,25,8239
2,26,10403
2,27,4425
2,28,9634
2,29,7614
2,30,5949
2,31,2437
2,32,7782
2,33,9978
2,34,11098
2,35,8003
2,36,5779
2,37,7339
2,38,7745
2,39,6757
2,40,6140
2,41,3422
2,42,8342
2,43,8594
2,44,10722
2,45,9613
2,46,8742
2,47,6292
2,48,7430
2,49,7839
2,50,9257
2,51,5289
2,52,8829
2,53,8190
2,54,3106
2,55,2945
2,56,7169
2,57,8887
3,1,10366
3,2,10713
3,3,0
3,4,6026
3,5,10828
3,6,10180
3,7,9899
3,8,8345
3,9,6026
3,10,7087
3,11,2936
3,12,4094
3,13,5051
3,14,8907
3,15,9916
3,16,9147
3,17,8643
3,18,6261
3,19,9124
3,20,6512
3,21,5083
3,22,6317
3,23,5511
3,24,7505
3,25,8989
3,26,9464
3,27,10598
3,28,4693
3,29,5839
3,30,9717
3,31,10774
3,32,6791
3,33,4474
3,34,9492
3,35,9249
3,36,6193
3,37,7138
3,38,7336
3,39,7178
3,40,8223
3,41,10313
3,42,8284
3,43,9099
3,44,8970
3,45,5131
3,46,5091
3,47,5997
3,48,6729
3,49,6173
3,50,6872
3,51,7393
3,52,6969
3,53,6741
3,54,13306
3,55,10891
3,56,6869
3,57,10262
4,1,7439
4,2,7485
4,3,6029
4,4,0
4,5,5882
4,6,4367
4,7,4840
4,8,2540
4,9,70
4,10,2600
4,11,3629
4,12,2604
4,13,3417
4,14,4227
4,15,4152
4,16,3383
4,17,6056
4,18,468
4,19,3360
4,20,1464
4,21,1197
4,22,2258
4,23,1082
4,24,1741
4,25,3175
4,26,3751
4,27,5106
4,28,2436
4,29,185
4,30,3953
4,31,5829
4,32,972
4,33,2780
4,34,4446
4,35,3435
4,36,2260
4,37,1374
4,38,1518
4,39,1414
4,40,2459
4,41,5344
4,42,2520
4,43,3285
4,44,4081
4,45,2415
4,46,1544
4,47,1538
4,48,965
4,49,442
4,50,1941
4,51,2355
4,52,1524
4,53,1023
4,54,9642
4,55,5922
4,56,1105
4,57,4448
5,1,3879
5,2,2438
5,3,10878
5,4,5919
5,5,0
5,6,6953
5,7,8648
5,8,7397
5,9,5827
5,10,3859
5,11,9135
5,12,8376
5,13,9214
5,14,9583
5,15,4340
5,16,5950
5,17,11413
5,18,5704
5,19,4579
5,20,7150
5,21,6970
5,22,7975
5,23,6860
5,24,4856
5,25,6328
5,26,8457
5,27,2091
5,28,8234
5,29,6057
5,30,3896
5,31,133
5,32,6100
5,33,8577
5,34,9153
5,35,6092
5,36,5206
5,37,5638
5,38,6043
5,39,5056
5,40,4229
5,41,1113
5,42,6396
5,43,6683
5,44,8776
5,45,8213
5,46,7341
5,47,5339
5,48,5748
5,49,6122
5,50,7337
5,51,3578
5,52,6944
5,53,6507
5,54,4181
5,55,522
5,56,5486
5,57,6976
6,1,9385
6,2,8842
6,3,10179
6,4,4358
6,5,6916
6,6,0
6,7,2730
6,8,2681
6,9,4289
6,10,5528
6,11,7472
6,12,6424
6,13,6724
6,14,4486
6,15,3166
6,16,1790
6,17,5816
6,18,3983
6,19,2374
6,20,4163
6,21,5292
6,22,4412
6,23,4975
6,24,3925
6,25,1462
6,26,2177
6,27,4970
6,28,5961
6,29,4422
6,30,3404
6,31,6862
6,32,3473
6,33,6147
6,34,2497
6,35,1278
6,36,6214
6,37,3526
6,38,3549
6,39,4132
6,40,3286
6,41,5852
6,42,2781
6,43,1411
6,44,2675
6,45,5595
6,46,5231
6,47,5492
6,48,3790
6,49,4032
6,50,3780
6,51,5283
6,52,3433
6,53,3447
6,54,10909
6,55,6733
6,56,3708
6,57,465
7,1,11779
7,2,11478
7,3,9871
7,4,4841
7,5,8625
7,6,2758
7,7,0
7,8,2924
7,9,4772
7,10,6503
7,11,6983
7,12,5934
7,13,6153
7,14,3004
7,15,4875
7,16,3275
7,17,3523
7,18,4480
7,19,4083
7,20,3828
7,21,5085
7,22,3676
7,23,4730
7,24,4900
7,25,2537
7,26,1192
7,27,6679
7,28,5464
7,29,4897
7,30,5114
7,31,8572
7,32,3970
7,33,5512
7,34,745
7,35,2797
7,36,6711
7,37,4494
7,38,4061
7,39,5107
7,40,5388
7,41,7561
7,42,3716
7,43,2302
7,44,1402
7,45,4960
7,46,4986
7,47,5989
7,48,4302
7,49,4515
7,50,3389
7,51,6258
7,52,3781
7,53,3930
7,54,13545
7,55,8442
7,56,4712
7,57,3008
8,1,9461
8,2,9328
8,3,8331
8,4,2521
8,5,7368
8,6,2666
8,7,2896
8,8,0
8,9,2452
8,10,4353
8,11,5623
8,12,4575
8,13,4870
8,14,2755
8,15,4520
8,16,1996
8,17,4568
8,18,2160
8,19,3728
8,20,2314
8,21,3443
8,22,2563
8,23,3126
8,24,2750
8,25,1491
8,26,1807
8,27,6003
8,28,4112
8,29,2577
8,30,4759
8,31,7314
8,32,1650
8,33,4294
8,34,2502
8,35,1751
8,36,4391
8,37,2176
8,38,1750
8,39,2957
8,40,3238
8,41,6318
8,42,1566
8,43,1516
8,44,2137
8,45,3741
8,46,3382
8,47,3669
8,48,1998
8,49,2195
8,50,1931
8,51,4108
8,52,1596
8,53,1610
8,54,11395
8,55,7199
8,56,2408
8,57,2764
9,1,7405
9,2,7451
9,3,6034
9,4,73
9,5,5792
9,6,4299
9,7,4772
9,8,2472
9,9,0
9,10,2509
9,11,3578
9,12,2553
9,13,3366
9,14,4189
9,15,4061
9,16,3292
9,17,6019
9,18,397
9,19,3269
9,20,1426
9,21,1147
9,22,2220
9,23,1031
9,24,1651
9,25,3108
9,26,3683
9,27,5016
9,28,2385
9,29,234
9,30,3862
9,31,5738
9,32,905
9,33,2729
9,34,4379
9,35,3367
9,36,2233
9,37,1283
9,38,1450
9,39,1323
9,40,2368
9,41,5253
9,42,2429
9,43,3217
9,44,4013
9,45,2365
9,46,1493
9,47,1511
9,48,874
9,49,375
9,50,1875
9,51,2264
9,52,1458
9,53,955
9,54,9551
9,55,5831
9,56,1014
9,57,4380
10,1,6038
10,2,5495
10,3,7103
10,4,2600
10,5,3822
10,6,5493
10,7,6465
